Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Sentiment
2021-02-08,38886.828125,46203.9296875,38076.32421875,46196.46484375,101467222687,0,0,0.0628416847041847
2021-02-09,46184.9921875,48003.72265625,45166.9609375,46481.10546875,91809846886,0,0,0.03911370400432901
2021-02-10,46469.76171875,47145.56640625,43881.15234375,44918.18359375,87301089896,0,0,0.08264780705405705
2021-02-11,44898.7109375,48463.46875,44187.76171875,47909.33203125,81388911810,0,0,0.12229166666666667
2021-02-12,47877.03515625,48745.734375,46424.9765625,47504.8515625,76555041196,0,0,0.10105795454545455
2021-02-13,47491.203125,48047.74609375,46392.28125,47105.515625,70250456155,0,0,0.21623530303030303
2021-02-14,47114.5078125,49487.640625,47114.5078125,48717.2890625,71248675228,0,0,0.09022008338883339
2021-02-15,48696.53515625,48875.5703125,46347.4765625,47945.05859375,77069903166,0,0,0.08176860119047619
2021-02-16,47944.45703125,50341.1015625,47201.3046875,49199.87109375,77049582886,0,0,0.038163672438672434
2021-02-17,49207.27734375,52533.9140625,49072.37890625,52149.0078125,80820545404,0,0,0.07867092352092352
2021-02-18,52140.97265625,52474.10546875,51015.765625,51679.796875,52054723579,0,0,0.07882689844877344
2021-02-19,51675.98046875,56113.65234375,50937.27734375,55888.1328125,63495496918,0,0,0.052786435786435784
2021-02-20,55887.3359375,57505.2265625,54626.55859375,56099.51953125,68145460026,0,0,-0.31334132395382397
2021-02-21,56068.56640625,58330.5703125,55672.609375,57539.9453125,51897585191,0,0,-0.03257481060606061
2021-02-22,57532.73828125,57533.390625,48967.56640625,54207.3203125,92052420332,0,0,0.08023854617604617
2021-02-23,54204.9296875,54204.9296875,45290.58984375,48824.42578125,106102492824,0,0,0.08867595072751323
2021-02-24,48835.0859375,51290.13671875,47213.5,49705.33203125,63695521388,0,0,0.04144543650793651
2021-02-25,49709.08203125,51948.96875,47093.8515625,47093.8515625,54506565949,0,0,0.07243345959595959
2021-02-26,47180.46484375,48370.78515625,44454.84375,46339.76171875,350967941479,0,0,0.06648880471380472
2021-02-27,46344.7734375,48253.26953125,45269.02734375,46188.453125,45910946382,0,0,0.05031711760461761
